artist_id,artist_name,genre
A0108,Artist 0108,jazz
A0109,Artist 0109,pop
A0110,Artist 0110,r_and_b
A0111,Artist 0111,latin
A0112,Artist 0112,hip_hop
A0113,Artist 0113,country
A0114,Artist 0114,electronic
A0115,Artist 0115,hip_hop
A0116,Artist 0116,electronic
A0117,Artist 0117,rock
A0118,Artist 0118,latin
A0119,Artist 0119,rock
A0120,Artist 0120,reggaeton
A0121,Artist 0121,classical
A0122,Artist 0122,reggaeton
A0123,Artist 0123,rock
A0124,Artist 0124,latin
A0125,Artist 0125,country
A0126,Artist 0126,country
A0127,Artist 0127,rock
A0128,Artist 0128,electronic
A0129,Artist 0129,electronic
A0130,Artist 0130,hip_hop
A0131,Artist 0131,pop
A0132,Artist 0132,r_and_b
A0133,Artist 0133,metal
A0134,Artist 0134,rock
A0135,Artist 0135,indie_rock
A0136,Artist 0136,electronic
A0137,Artist 0137,country
A0138,Artist 0138,country
A0139,Artist 0139,rock
A0140,Artist 0140,latin
A0141,Artist 0141,hip_hop
A0142,Artist 0142,indie_rock
A0143,Artist 0143,latin
A0144,Artist 0144,pop
A0145,Artist 0145,pop
A0146,Artist 0146,r_and_b
A0147,Artist 0147,indie_rock
A0148,Artist 0148,classical
A0149,Artist 0149,electronic
A0150,Artist 0150,indie_rock
A0151,Artist 0151,electronic
A0152,Artist 0152,jazz
A0153,Artist 0153,rock
A0154,Artist 0154,pop
A0155,Artist 0155,latin
A0156,Artist 0156,metal
A0157,Artist 0157,electronic
A0158,Artist 0158,jazz
A0159,Artist 0159,latin
A0160,Artist 0160,metal
A0161,Artist 0161,classical
A0162,Artist 0162,rock
A0163,Artist 0163,pop
A0164,Artist 0164,classical
A0165,Artist 0165,classical
A0166,Artist 0166,electronic
A0167,Artist 0167,jazz
A0168,Artist 0168,reggaeton
A0169,Artist 0169,country
A0170,Artist 0170,electronic
A0171,Artist 0171,jazz
A0172,Artist 0172,classical
A0173,Artist 0173,metal
A0174,Artist 0174,jazz
A0175,Artist 0175,classical
A0176,Artist 0176,classical
A0177,Artist 0177,pop
A0178,Artist 0178,pop
A0179,Artist 0179,hip_hop
A0180,Artist 0180,indie_rock
A0181,Artist 0181,latin
A0182,Artist 0182,pop
A0183,Artist 0183,jazz
A0184,Artist 0184,electronic
A0185,Artist 0185,country
A0186,Artist 0186,reggaeton
A0187,Artist 0187,rock
A0188,Artist 0188,rock
A0189,Artist 0189,r_and_b
A0190,Artist 0190,metal
A0191,Artist 0191,r_and_b
A0192,Artist 0192,reggaeton
A0193,Artist 0193,jazz
A0194,Artist 0194,jazz
A0195,Artist 0195,classical
A0196,Artist 0196,classical
A0197,Artist 0197,pop
A0198,Artist 0198,latin
A0199,Artist 0199,jazz
A0200,Artist 0200,classical
A0201,Artist 0201,r_and_b
A0202,Artist 0202,rock
A0203,Artist 0203,classical
A0204,Artist 0204,rock
A0205,Artist 0205,jazz
A0206,Artist 0206,metal
A0207,Artist 0207,indie_rock
A0208,Artist 0208,hip_hop
A0209,Artist 0209,classical
A0210,Artist 0210,r_and_b
A0211,Artist 0211,pop
A0212,Artist 0212,jazz
A0213,Artist 0213,classical
A0214,Artist 0214,electronic
A0215,Artist 0215,pop
A0216,Artist 0216,metal
A0217,Artist 0217,r_and_b
A0218,Artist 0218,indie_rock
A0219,Artist 0219,country
A0220,Artist 0220,hip_hop
A0221,Artist 0221,electronic
A0222,Artist 0222,hip_hop
A0223,Artist 0223,indie_rock
A0224,Artist 0224,electronic
A0225,Artist 0225,jazz
A0226,Artist 0226,country
A0227,Artist 0227,reggaeton
A0228,Artist 0228,r_and_b
A0229,Artist 0229,reggaeton
A0230,Artist 0230,r_and_b
A0231,Artist 0231,metal
A0232,Artist 0232,classical
A0233,Artist 0233,metal
A0234,Artist 0234,pop
A0235,Artist 0235,metal
A0236,Artist 0236,hip_hop
A0237,Artist 0237,metal
A0238,Artist 0238,jazz
A0239,Artist 0239,pop
A0240,Artist 0240,country
A0241,Artist 0241,metal
A0242,Artist 0242,electronic
A0243,Artist 0243,electronic
A0244,Artist 0244,jazz
A0245,Artist 0245,latin
A0246,Artist 0246,country
A0247,Artist 0247,pop
A0248,Artist 0248,electronic
A0249,Artist 0249,rock
A0250,Artist 0250,metal
A0251,Artist 0251,r_and_b
A0252,Artist 0252,classical
A0253,Artist 0253,country
A0254,Artist 0254,jazz
A0255,Artist 0255,classical
A0256,Artist 0256,classical
A0257,Artist 0257,classical
A0258,Artist 0258,reggaeton
A0259,Artist 0259,electronic
A0260,Artist 0260,rock
A0261,Artist 0261,classical
A0262,Artist 0262,country
A0263,Artist 0263,electronic
A0264,Artist 0264,latin
A0265,Artist 0265,classical
A0266,Artist 0266,r_and_b
A0267,Artist 0267,country
A0268,Artist 0268,electronic
A0269,Artist 0269,pop
A0270,Artist 0270,classical
A0271,Artist 0271,latin
A0272,Artist 0272,r_and_b
A0273,Artist 0273,metal
A0274,Artist 0274,pop
A0275,Artist 0275,indie_rock
A0276,Artist 0276,r_and_b
A0277,Artist 0277,electronic
A0278,Artist 0278,rock
A0279,Artist 0279,metal
A0280,Artist 0280,latin
A0281,Artist 0281,latin
A0282,Artist 0282,indie_rock
A0283,Artist 0283,latin
A0284,Artist 0284,latin
A0285,Artist 0285,metal
A0286,Artist 0286,indie_rock
A0287,Artist 0287,indie_rock
A0288,Artist 0288,jazz
A0289,Artist 0289,metal
A0290,Artist 0290,r_and_b
A0291,Artist 0291,rock
A0292,Artist 0292,latin
A0293,Artist 0293,pop
A0294,Artist 0294,metal
A0295,Artist 0295,hip_hop
A0296,Artist 0296,country
A0297,Artist 0297,r_and_b
A0298,Artist 0298,electronic
A0299,Artist 0299,pop
A0300,Artist 0300,r_and_b
A0301,Artist 0301,latin
A0302,Artist 0302,electronic
A0303,Artist 0303,hip_hop
A0304,Artist 0304,latin
A0305,Artist 0305,electronic
A0306,Artist 0306,r_and_b
A0307,Artist 0307,hip_hop
A0308,Artist 0308,electronic
A0309,Artist 0309,reggaeton
A0310,Artist 0310,r_and_b
A0311,Artist 0311,pop
A0312,Artist 0312,pop
A0313,Artist 0313,electronic
A0314,Artist 0314,latin
A0315,Artist 0315,pop
A0316,Artist 0316,metal
A0317,Artist 0317,country
A0318,Artist 0318,hip_hop
A0319,Artist 0319,latin
A0320,Artist 0320,classical
A0321,Artist 0321,reggaeton
A0322,Artist 0322,r_and_b
A0323,Artist 0323,hip_hop
A0324,Artist 0324,classical
A0325,Artist 0325,metal
A0326,Artist 0326,country
A0327,Artist 0327,indie_rock
A0328,Artist 0328,electronic
A0329,Artist 0329,reggaeton
A0330,Artist 0330,hip_hop
A0331,Artist 0331,jazz
A0332,Artist 0332,electronic
A0333,Artist 0333,jazz
A0334,Artist 0334,hip_hop
A0335,Artist 0335,classical
A0336,Artist 0336,reggaeton
A0337,Artist 0337,pop
A0338,Artist 0338,r_and_b
A0339,Artist 0339,hip_hop
A0340,Artist 0340,country
A0341,Artist 0341,metal
A0342,Artist 0342,classical
A0343,Artist 0343,indie_rock
A0344,Artist 0344,r_and_b
A0345,Artist 0345,jazz
A0346,Artist 0346,latin
A0347,Artist 0347,pop
A0348,Artist 0348,classical
A0349,Artist 0349,hip_hop
A0350,Artist 0350,rock
A0351,Artist 0351,r_and_b
A0352,Artist 0352,classical
A0353,Artist 0353,r_and_b
A0354,Artist 0354,pop
A0355,Artist 0355,rock
A0356,Artist 0356,metal
A0357,Artist 0357,indie_rock
A0358,Artist 0358,latin
A0359,Artist 0359,electronic
A0360,Artist 0360,reggaeton
A0361,Artist 0361,r_and_b
A0362,Artist 0362,latin
A0363,Artist 0363,electronic
A0364,Artist 0364,pop
A0365,Artist 0365,classical
A0366,Artist 0366,latin
A0367,Artist 0367,pop
A0368,Artist 0368,indie_rock
A0369,Artist 0369,electronic
A0370,Artist 0370,country
A0371,Artist 0371,reggaeton
A0372,Artist 0372,hip_hop
A0373,Artist 0373,rock
A0374,Artist 0374,electronic
A0375,Artist 0375,latin
A0376,Artist 0376,rock
A0377,Artist 0377,indie_rock
A0378,Artist 0378,pop
A0379,Artist 0379,rock
A0380,Artist 0380,r_and_b
A0381,Artist 0381,r_and_b
A0382,Artist 0382,metal
A0383,Artist 0383,jazz
A0384,Artist 0384,rock
A0385,Artist 0385,latin
A0386,Artist 0386,classical
A0387,Artist 0387,r_and_b
A0388,Artist 0388,hip_hop
A0389,Artist 0389,metal
A0390,Artist 0390,country
A0391,Artist 0391,classical
A0392,Artist 0392,rock
A0393,Artist 0393,rock
A0394,Artist 0394,classical
A0395,Artist 0395,electronic
A0396,Artist 0396,country
A0397,Artist 0397,rock
A0398,Artist 0398,jazz
A0399,Artist 0399,latin
A0400,Artist 0400,metal
